Variable,Coeficiente
PP04B_GRUPO_66,2.469941464110654
PP04B_GRUPO_21,0.9891272241510831
NIVEL_ED_7,0.8124144475382101
PP04B_GRUPO_78,0.8062937044789837
NIVEL_ED_6,0.7923870043509311
PP04B_GRUPO_60,0.6773852688632785
PP04B_GRUPO_11,0.6257884536801942
PP04B_GRUPO_62,0.6236917026814769
PP04B_GRUPO_19,0.5727977659431102
PP04B_GRUPO_33,0.535057049406214
PP04B_GRUPO_70,0.5272674669480035
PP04B_GRUPO_64,0.5053936712035088
PP04B_GRUPO_65,0.5027608743961461
PP04D_GRUPO_6,0.4670882277619455
PP04B_GRUPO_73,0.3958587765627879
PP04B_GRUPO_77,0.37626982542458537
PP04B_GRUPO_50,0.37609034508167194
NIVEL_ED_4,0.37506911391178116
PP04B_GRUPO_45,0.35763612520340937
PP04B_GRUPO_75,0.34469328874668026
PP04B_GRUPO_80,0.30946752700027136
NIVEL_ED_5,0.3035977159764169
PP04B_GRUPO_36,0.2845924482931205
PP04B_GRUPO_55,0.28166469087848683
PP04B_GRUPO_29,0.2308430020957608
PP04D_GRUPO_7,0.22952303554171608
PP04B_GRUPO_71,0.2131706660898794
NIVEL_ED_3,0.19719885770051732
PP04B_GRUPO_95,0.15653956546449854
PP04B_GRUPO_49,0.14655214308142736
PP04B_GRUPO_27,0.1343654746343066
PP04B_GRUPO_35,0.1336607617283163
PP04B_GRUPO_30,0.1254420809796385
AGLOMERADO_CAT_4,0.11592011845538354
PP04B_GRUPO_38,0.11487021420838954
NIVEL_ED_2,0.10019132363872046
PP04B_GRUPO_24,0.09067112370888943
PP04D_GRUPO_2,0.08132417587063809
PP04B_GRUPO_69,0.07915926862117376
PP04B_GRUPO_26,0.06973064809101338
CH06,0.05076713289165829
PP04B_GRUPO_59,0.044467502631583423
PP04B_GRUPO_17,0.040456081001108014
PP04B_GRUPO_84,0.03140425474954183
PP04B_GRUPO_28,0.030555573771239252
PP04B_GRUPO_37,0.015196422461936965
PP04B_GRUPO_SIN_DATO,0.0024857306543628627
PP3E_TOT,-7.949558783612358e-05
CH06_CUADRADO,-0.0004998901627445686
PP04B_GRUPO_61,-0.0007964268866496682
PP04B_GRUPO_31,-0.0008630699669712326
PP04B_GRUPO_52,-0.01624281265659492
PP04B_GRUPO_15,-0.017695440799675617
PP04B_GRUPO_20,-0.01921427379545867
PP04B_GRUPO_86,-0.02268391260713883
PP04B_GRUPO_16,-0.032857865731058825
PP04D_GRUPO_3,-0.059812183020695874
PP04D_GRUPO_9,-0.07292651218319858
PP04B_GRUPO_25,-0.08839399506206908
PP04B_GRUPO_14,-0.08908858370465504
PP04B_GRUPO_79,-0.11130684855565383
PP04B_GRUPO_13,-0.12069030487791715
PP04B_GRUPO_87,-0.12548608747518766
PP04B_GRUPO_48,-0.15515246046369413
PP04D_GRUPO_8,-0.15805115692183874
PP04D_GRUPO_4,-0.158729331916754
PP04B_GRUPO_56,-0.17480039731696914
PP04B_GRUPO_63,-0.1975268037875976
PP04B_GRUPO_91,-0.21580379239657524
PP04B_GRUPO_23,-0.21924250992358618
PP04B_GRUPO_94,-0.23649212790841537
PP04D_GRUPO_5,-0.24716881910603525
PP04B_GRUPO_72,-0.25730922527527145
PP04B_GRUPO_40,-0.2584401074358383
PP04B_GRUPO_81,-0.26172449041901874
CH04_2,-0.3537672563810831
PP04B_GRUPO_96,-0.3710291421705938
PP04B_GRUPO_85,-0.3726861684963274
PP04B_GRUPO_90,-0.38732692609311165
PP04B_GRUPO_53,-0.39699678069738087
PP04B_GRUPO_58,-0.41667068330753715
PP04B_GRUPO_22,-0.4466562451881933
PP04B_GRUPO_39,-0.45013694865863974
PP04B_GRUPO_32,-0.47182281896533057
CAT_OCUP_3,-0.4910668738977871
PP04B_GRUPO_18,-0.5132320884509768
PP04B_GRUPO_68,-0.5745983403005555
PP04B_GRUPO_82,-0.6497971998073522
PP04B_GRUPO_97,-0.6597307262643748
PP04B_GRUPO_93,-0.6631158613015289
PP04B_GRUPO_74,-0.7970963646098596
PP04B_GRUPO_92,-0.9114065820153538
CAT_OCUP_2,-1.0461964047942958
PP04B_GRUPO_88,-1.4105776189239099
